Fecha,Hora,Lux Natural,Lux Total,Hum Suelo %,Hum Suelo RAW,Temp Amb C,Hum Amb %,Luz Estado,Riego Estado
2026-03-05,11:04:25,7,7,77,42,26.2,81.8,OFF,OFF
2026-03-05,12:04:32,12,12,77,42,26.1,81.2,OFF,OFF
2026-03-05,13:04:40,7,7,77,42,26.1,77.9,OFF,OFF
2026-03-05,14:04:47,1,1,78,40,26.3,77.3,OFF,OFF
2026-03-05,15:04:55,5,5,78,41,25.9,75.8,OFF,OFF
2026-03-05,16:05:02,6,6,77,42,25.7,80.1,OFF,OFF
2026-03-05,17:05:10,0,0,76,43,25.8,70.3,OFF,OFF
2026-03-05,18:05:17,0,19777,77,42,25.7,68.1,ON,OFF
2026-03-05,19:05:25,0,15791,76,43,25.5,73.7,ON,OFF
2026-03-05,20:05:33,20,16776,77,42,31.5,43.6,ON,OFF
2026-03-05,21:05:40,0,16895,76,43,31.8,50.9,ON,OFF
2026-03-05,22:05:48,5,16749,77,42,31.3,53.4,ON,OFF
2026-03-05,23:05:55,5,5,65,61,0,0,ON,OFF
2026-03-06,00:06:03,6,17158,76,44,25.0,45.6,ON,OFF
2026-03-06,01:06:10,6,16435,76,44,29.6,34.1,ON,OFF
2026-03-06,02:06:18,0,0,76,43,30.7,38.1,ON,OFF
2026-03-06,03:06:25,0,0,78,41,24.8,70.1,ON,OFF
2026-03-06,04:06:33,0,0,78,41,24.3,71.1,ON,OFF
2026-03-06,05:06:40,0,0,76,43,0,0,ON,OFF
2026-03-06,06:06:48,0,0,76,44,0,0,OFF,OFF
2026-03-06,07:06:55,0,0,76,44,24.1,66.1,OFF,OFF
2026-03-06,08:07:03,0,0,76,44,24.1,68.8,OFF,OFF
2026-03-06,09:07:11,3,3,77,42,24.0,63.5,OFF,OFF
2026-03-06,10:07:18,10,10,77,42,23.9,67.2,OFF,OFF
2026-03-06,11:07:25,11,11,0,252,23.8,68.1,OFF,REGANDO
2026-03-06,12:07:39,6,7,0,252,24.3,63.3,OFF,REGANDO
2026-03-06,13:07:53,10,11,0,255,24.4,64.7,OFF,REGANDO
2026-03-06,14:08:06,9,9,0,252,24.6,65.6,OFF,REGANDO
2026-03-06,15:08:20,34,34,0,252,24.6,65.8,OFF,REGANDO
2026-03-06,16:08:33,14,14,0,255,25.0,63.7,OFF,REGANDO
2026-03-06,17:08:47,17,17,0,254,25.5,61.7,OFF,REGANDO
2026-03-06,18:09:01,7,67,0,252,25.3,63.2,ON,REGANDO
2026-03-06,19:09:14,0,15170,73,48,25.4,60.5,ON,OFF
2026-03-06,20:09:22,6,15494,69,54,0,0,ON,OFF
2026-03-06,21:09:29,7,15699,70,53,31.5,55.9,ON,OFF
2026-03-06,22:09:37,7,15269,72,50,31.8,57.2,ON,OFF
2026-03-06,23:09:44,0,15311,71,51,31.5,51.4,ON,OFF
2026-03-07,00:09:52,0,15584,70,53,31.4,47.4,ON,OFF
2026-03-07,01:09:59,0,15392,69,54,31.2,48.9,ON,OFF
2026-03-07,02:10:07,0,15937,69,54,30.9,48.6,ON,OFF
2026-03-07,03:10:15,0,15823,71,52,30.6,49.5,ON,OFF
2026-03-07,04:10:22,0,15521,71,52,30.7,48.8,ON,OFF
2026-03-07,05:10:30,0,15353,71,52,30.6,49.9,ON,OFF
2026-03-07,06:10:37,0,0,69,55,31.1,48.0,OFF,OFF
2026-03-07,07:10:45,0,0,68,56,31.1,46.4,OFF,OFF
2026-03-07,08:10:52,4,4,67,57,25.1,74.6,OFF,OFF
2026-03-07,09:11:00,48,48,67,57,24.8,75.3,OFF,OFF
2026-03-07,10:11:08,35,35,69,55,24.9,73.9,OFF,OFF
2026-03-07,11:11:15,28,28,69,55,25.2,70.9,OFF,OFF
2026-03-07,12:11:23,26,27,68,56,25.4,73.6,OFF,OFF
2026-03-07,13:11:30,10,10,67,57,25.3,66.4,OFF,OFF
2026-03-07,14:11:38,13,13,67,57,25.2,66.4,OFF,OFF
2026-03-07,15:11:45,12,12,67,57,25.1,65.2,OFF,OFF
2026-03-07,16:11:53,11,11,69,55,25.0,67.6,OFF,OFF
2026-03-07,17:12:01,9,9,68,56,25.0,64.5,OFF,OFF
2026-03-07,18:12:08,5,18970,69,54,24.8,64.2,ON,OFF
2026-03-07,19:12:17,1,16154,68,56,24.9,67.6,ON,OFF
2026-03-07,20:12:25,0,15733,68,56,31.2,45.0,ON,OFF
2026-03-07,21:12:33,0,15606,69,54,31.2,43.1,ON,OFF
2026-03-07,22:12:40,7,16175,69,55,31.2,47.5,ON,OFF
2026-03-07,23:12:48,6,15593,69,55,29.7,40.8,ON,OFF
2026-03-08,00:12:55,0,16132,67,57,31.3,47.5,ON,OFF
2026-03-08,01:13:03,0,15360,67,57,31.5,46.7,ON,OFF
2026-03-08,02:13:10,0,15229,67,57,31.3,45.4,ON,OFF
2026-03-08,03:13:18,0,15501,67,57,31.3,44.8,ON,OFF
2026-03-08,04:13:26,0,15124,69,55,31.3,44.7,ON,OFF
2026-03-08,05:13:33,0,16011,69,55,31.3,44.9,ON,OFF
2026-03-08,06:13:40,0,0,68,56,31.1,44.5,OFF,OFF
2026-03-08,07:13:48,0,0,66,59,30.9,44.3,OFF,OFF
2026-03-08,08:13:56,0,0,66,59,24.9,70.7,OFF,OFF
2026-03-08,09:14:03,2,2,65,60,24.4,74.9,OFF,OFF
2026-03-08,10:14:11,8,8,67,58,24.2,76.0,OFF,OFF
2026-03-08,11:14:18,9,9,67,58,24.1,76.7,OFF,OFF
2026-03-08,12:14:26,5,5,67,58,24.3,76.0,OFF,OFF
2026-03-08,13:14:33,2,2,65,60,0,0,OFF,OFF
2026-03-08,14:14:41,5,5,65,60,24.0,77.9,OFF,OFF
2026-03-08,15:14:48,3,3,65,60,23.7,78.7,OFF,OFF
2026-03-08,16:14:56,0,0,66,59,23.6,81.6,OFF,OFF
2026-03-08,17:15:04,0,0,67,58,24.0,82.3,OFF,OFF
2026-03-08,18:15:11,0,17830,67,58,24.0,80.8,ON,OFF
2026-03-08,19:15:19,7,15116,65,60,23.5,79.6,ON,OFF
2026-03-08,20:15:27,7,15563,65,60,29.3,47.5,ON,OFF
2026-03-08,21:15:34,7,15862,65,60,29.4,51.1,ON,OFF
2026-03-08,22:15:42,6,15043,65,60,29.5,49.7,ON,OFF
2026-03-08,23:15:49,6,15811,67,58,29.5,49.2,ON,OFF
2026-03-09,00:15:57,6,16072,66,59,29.4,47.6,ON,OFF
2026-03-09,01:16:05,0,14930,66,59,29.1,49.0,ON,OFF
2026-03-09,02:16:12,0,15279,65,61,29.7,46.9,ON,OFF
2026-03-09,03:16:20,0,15487,65,61,29.7,49.0,ON,OFF
2026-03-09,04:16:27,0,15101,65,61,29.7,49.8,ON,OFF
2026-03-09,05:16:35,0,15840,66,59,29.7,48.3,ON,OFF
2026-03-09,06:16:42,0,0,66,59,29.8,48.7,OFF,OFF
2026-03-09,07:16:50,0,0,65,60,29.7,42.9,OFF,OFF
2026-03-09,08:16:57,0,0,63,63,24.1,67.9,OFF,OFF
2026-03-09,09:17:05,1,1,63,63,23.8,67.5,OFF,OFF
2026-03-09,10:17:12,5,5,63,63,23.7,70.6,OFF,OFF
2026-03-09,11:17:20,6,5,85,30,23.7,71.9,OFF,OFF
2026-03-09,12:17:28,9,9,77,42,24.1,89.6,OFF,OFF
2026-03-09,13:17:35,7,7,76,44,23.8,77.8,OFF,OFF
2026-03-09,14:17:43,13,13,74,47,23.9,81.8,OFF,OFF
2026-03-09,15:17:50,10,10,71,51,0,0,OFF,OFF
2026-03-09,16:17:58,9,9,71,52,23.9,81.8,OFF,OFF
2026-03-09,17:18:06,7,7,70,53,23.8,80.7,OFF,OFF
2026-03-09,18:18:13,4,14938,73,49,23.8,79.4,ON,OFF
2026-03-09,19:18:21,7,11902,73,48,24.0,99.9,ON,OFF
2026-03-09,20:18:28,7,12282,73,48,28.5,83.5,ON,OFF
2026-03-09,21:18:36,6,12181,75,45,28.6,83.2,ON,OFF
2026-03-09,22:18:43,6,11542,75,45,28.7,69.3,ON,OFF
2026-03-09,23:18:51,6,12019,75,45,28.9,73.0,ON,OFF
2026-03-10,00:18:59,0,8834,75,45,29.0,81.8,ON,OFF
2026-03-10,01:19:06,0,7796,75,45,28.8,75.0,ON,OFF
2026-03-10,02:19:13,0,8788,75,46,28.5,79.6,ON,OFF
2026-03-10,03:19:21,0,7802,73,48,28.4,78.6,ON,OFF
2026-03-10,04:19:29,0,7864,73,48,28.3,76.6,ON,OFF
2026-03-10,05:19:36,0,7672,73,49,28.2,76.4,ON,OFF
2026-03-10,06:19:44,0,0,73,49,28.1,77.1,OFF,OFF
2026-03-10,07:19:51,0,0,73,48,27.9,60.7,OFF,OFF
2026-03-10,08:19:59,0,0,73,48,24.2,83.5,OFF,OFF
2026-03-10,09:20:06,1,1,73,48,23.9,86.4,OFF,OFF
2026-03-10,10:20:14,6,6,71,52,23.6,86.0,OFF,OFF
2026-03-10,11:20:21,3,3,71,52,23.6,84.2,OFF,OFF
2026-03-10,12:20:29,2,2,71,52,23.6,84.9,OFF,OFF
2026-03-10,13:20:37,5,5,72,50,23.6,81.7,OFF,OFF
2026-03-10,14:20:44,6,6,72,50,23.7,82.5,OFF,OFF
2026-03-10,15:20:52,3,3,72,50,23.7,84.6,OFF,OFF
2026-03-10,16:20:59,3,3,71,52,23.8,80.8,OFF,OFF
2026-03-10,17:21:07,1,1,71,52,0,0,OFF,OFF
2026-03-10,18:21:14,0,14065,71,52,23.7,88.6,ON,OFF
2026-03-10,19:21:22,7,11790,71,51,23.6,99.9,ON,OFF
2026-03-10,20:21:29,6,8359,73,49,27.8,95.4,ON,OFF
2026-03-10,21:21:37,8,8,72,50,27.8,97.9,ON,OFF
2026-03-10,22:21:45,8,9738,70,53,24.2,82.6,ON,OFF
2026-03-10,23:21:52,8,9535,70,53,27.7,59.5,ON,OFF
2026-03-11,00:22:00,8,9209,70,53,28.2,55.7,ON,OFF
2026-03-11,01:22:08,0,0,70,53,28.2,56.7,ON,OFF
2026-03-11,02:22:15,0,0,71,51,26.7,67.7,ON,OFF
2026-03-11,03:22:23,0,9805,71,52,26.6,68.3,ON,OFF
2026-03-11,04:22:30,0,9528,71,51,27.2,58.9,ON,OFF
2026-03-11,05:22:38,0,9282,70,53,28.0,55.1,ON,OFF
2026-03-11,06:22:45,0,0,70,53,28.1,54.6,OFF,OFF
2026-03-11,07:22:53,0,0,70,53,28.2,54.4,OFF,OFF
2026-03-11,08:23:00,47,47,71,52,24.1,76.7,OFF,OFF
2026-03-11,09:23:08,48,48,65,61,24.2,77.9,OFF,OFF
2026-03-11,10:23:15,47,47,86,29,24.7,80.0,OFF,OFF
2026-03-11,11:23:23,70,70,85,30,25.2,82.0,OFF,OFF
2026-03-11,12:23:30,46,45,85,30,25.0,80.8,OFF,OFF
2026-03-11,13:23:38,26,26,84,31,25.1,73.6,OFF,OFF
2026-03-11,14:23:46,19,19,84,31,25.1,73.9,OFF,OFF
2026-03-11,15:23:53,14,14,86,29,25.0,76.5,OFF,OFF
2026-03-11,16:24:01,10,10,86,29,24.9,72.0,OFF,OFF
2026-03-11,17:24:08,4,5,86,29,25.0,66.2,OFF,OFF
2026-03-11,18:24:16,2,2,82,35,0,0,ON,OFF
2026-03-11,19:24:23,0,0,84,32,25.0,99.9,ON,OFF
2026-03-11,20:24:31,0,0,82,34,24.9,99.9,ON,OFF
2026-03-11,21:24:38,0,0,84,32,24.7,99.9,ON,OFF
2026-03-11,22:24:46,7,7,84,31,24.7,99.9,ON,OFF
2026-03-11,23:24:54,0,0,84,31,24.7,99.9,ON,OFF
2026-03-12,00:25:01,0,0,82,34,24.7,99.9,ON,OFF
2026-03-12,01:25:09,0,0,82,34,24.7,99.9,ON,OFF
2026-03-12,02:25:16,0,0,82,34,24.8,99.9,ON,OFF
2026-03-12,03:25:24,0,0,83,33,24.7,99.9,ON,OFF
2026-03-12,04:25:32,0,0,84,32,24.7,99.9,ON,OFF
2026-03-12,05:25:39,0,0,84,32,0,0,ON,OFF
2026-03-12,06:25:47,0,0,83,33,24.4,99.9,OFF,OFF
2026-03-12,07:25:54,0,0,83,33,24.3,76.6,OFF,OFF
2026-03-12,08:26:02,2,2,82,34,24.3,91.0,OFF,OFF
2026-03-12,09:26:10,4,4,82,34,0,0,OFF,OFF
2026-03-12,10:26:17,7,7,84,31,24.1,78.5,OFF,OFF
2026-03-12,11:26:25,12,12,84,31,24.1,82.8,OFF,OFF
2026-03-12,12:26:32,27,27,84,32,24.2,81.3,OFF,OFF
2026-03-12,13:26:40,17,17,82,34,24.5,82.7,OFF,OFF
2026-03-12,14:26:47,15,15,82,34,24.7,79.4,OFF,OFF
2026-03-12,15:26:55,13,13,82,34,24.8,83.6,OFF,OFF
2026-03-12,16:27:03,8,8,84,31,24.9,83.5,OFF,OFF
2026-03-12,17:27:10,7,7,84,31,24.9,81.9,OFF,OFF
2026-03-12,18:27:18,5,5,84,32,24.9,80.8,ON,OFF
2026-03-12,19:27:25,0,0,82,34,24.9,99.9,ON,OFF
2026-03-12,20:27:33,0,0,82,34,24.8,99.9,ON,OFF
2026-03-12,21:27:40,0,0,82,34,24.8,99.9,ON,OFF
2026-03-12,22:27:48,0,0,82,34,24.8,99.9,ON,OFF
2026-03-12,23:27:55,0,0,84,32,24.7,99.9,ON,OFF
2026-03-13,00:28:03,0,0,84,32,24.6,99.9,ON,OFF
2026-03-13,01:28:10,0,0,84,32,24.5,99.9,ON,OFF
2026-03-13,02:28:18,0,0,82,34,24.4,99.9,ON,OFF
2026-03-13,03:28:25,0,0,82,34,24.3,99.9,ON,OFF
2026-03-13,04:28:33,0,0,82,34,24.2,99.9,ON,OFF
2026-03-13,05:28:41,0,0,84,32,24.1,99.9,ON,OFF
2026-03-13,06:28:48,0,0,84,32,23.9,99.9,OFF,OFF
2026-03-13,07:28:56,1,1,84,32,23.7,81.5,OFF,OFF
2026-03-13,08:29:03,8,8,82,34,23.7,82.7,OFF,OFF
2026-03-13,09:29:11,7,7,82,34,23.9,85.3,OFF,OFF
2026-03-13,10:29:18,8,8,82,34,0,0,OFF,OFF
2026-03-13,11:29:26,13,13,82,34,24.0,82.6,OFF,OFF
2026-03-13,12:29:34,18,18,84,32,24.1,79.9,OFF,OFF
2026-03-13,13:29:41,12,12,84,32,24.2,78.3,OFF,OFF
2026-03-13,14:29:49,8,8,82,34,24.5,78.6,OFF,OFF
2026-03-13,15:29:58,8,8,82,34,24.5,78.9,OFF,OFF
2026-03-13,16:30:06,7,7,82,34,24.6,80.0,OFF,OFF
2026-03-13,17:30:16,6,6,84,32,24.7,78.8,OFF,OFF
2026-03-13,18:30:23,3,3,82,34,24.8,82.9,ON,OFF
2026-03-13,19:30:31,0,0,82,35,24.9,99.9,ON,OFF
2026-03-13,20:30:38,7,10434,84,31,24.8,99.9,ON,OFF
2026-03-13,21:30:46,8,9369,85,30,28.9,51.0,ON,OFF
2026-03-13,22:30:54,0,9121,86,28,28.6,49.8,ON,OFF
2026-03-13,23:31:01,0,8963,86,28,28.3,47.9,ON,OFF
2026-03-14,00:31:08,0,9337,86,28,28.4,48.8,ON,OFF
2026-03-14,01:31:16,0,8975,85,30,28.4,53.3,ON,OFF
2026-03-14,02:31:24,0,8813,85,30,28.7,50.8,ON,OFF
2026-03-14,03:31:31,0,8778,85,30,28.7,51.6,ON,OFF
2026-03-14,04:31:39,0,8678,86,28,28.7,55.2,ON,OFF
2026-03-14,05:31:46,0,8786,86,28,28.7,55.6,ON,OFF
2026-03-14,06:31:54,0,0,86,29,0,0,OFF,OFF
2026-03-14,07:32:01,0,0,84,32,28.8,54.8,OFF,OFF
2026-03-14,08:32:09,0,0,84,32,24.9,78.3,OFF,OFF
2026-03-14,09:32:16,4,4,84,32,24.5,80.5,OFF,OFF
2026-03-14,10:32:24,7,7,84,32,24.4,78.5,OFF,OFF
2026-03-14,11:32:32,5,5,86,29,24.6,84.2,OFF,OFF
2026-03-14,12:32:39,8,8,85,30,24.5,75.4,OFF,OFF
2026-03-14,13:32:47,18,17,85,30,24.2,80.0,OFF,OFF
2026-03-14,14:32:54,17,17,84,32,24.6,77.9,OFF,OFF
2026-03-14,15:33:02,36,36,84,32,24.4,73.2,OFF,OFF
2026-03-14,16:33:09,25,25,84,32,24.2,81.0,OFF,OFF
2026-03-14,17:33:17,6,6,85,30,24.2,80.2,OFF,OFF
2026-03-14,18:33:25,10,14438,86,28,23.4,96.3,ON,OFF
2026-03-14,19:33:32,0,11850,86,28,23.7,87.7,ON,OFF
2026-03-14,20:33:40,0,12093,85,30,29.2,55.9,ON,OFF
2026-03-14,21:33:48,0,12016,85,30,29.2,54.9,ON,OFF
2026-03-14,22:33:55,0,11466,85,30,29.3,57.2,ON,OFF
2026-03-14,23:34:03,0,11931,86,28,29.4,52.9,ON,OFF
2026-03-15,00:34:11,0,12180,87,27,29.4,52.6,ON,OFF
2026-03-15,01:34:18,0,11452,87,27,29.6,54.0,ON,OFF
2026-03-15,02:34:25,0,11561,85,30,29.6,52.2,ON,OFF
2026-03-15,03:34:33,0,11662,85,30,29.3,52.7,ON,OFF
2026-03-15,04:34:41,0,11921,85,30,29.1,51.3,ON,OFF
2026-03-15,05:34:48,0,12026,85,30,29.6,53.5,ON,OFF
2026-03-15,06:34:56,0,0,86,29,29.2,51.4,OFF,OFF
2026-03-15,07:35:03,2,2,86,29,29.1,52.2,OFF,OFF
2026-03-15,08:35:11,55,54,84,31,24.0,78.7,OFF,OFF
2026-03-15,09:35:18,55,55,84,32,24.1,81.0,OFF,OFF
2026-03-15,10:35:26,32,32,84,32,24.4,76.4,OFF,OFF
2026-03-15,11:35:34,23,23,84,32,24.5,80.5,OFF,OFF
2026-03-15,12:35:44,15,16,85,30,24.5,80.4,OFF,OFF
2026-03-15,13:35:51,10,10,84,31,24.7,78.4,OFF,OFF
2026-03-15,14:35:59,8,8,84,32,24.8,76.9,OFF,OFF
2026-03-15,15:36:07,9,9,84,32,24.9,76.0,OFF,OFF
2026-03-15,16:36:14,8,8,84,32,25.3,74.2,OFF,OFF
2026-03-15,17:36:22,7,7,85,30,25.3,79.4,OFF,OFF
2026-03-15,18:36:30,4,14530,86,28,25.3,81.7,ON,OFF
2026-03-15,19:36:37,0,11777,86,28,25.4,83.2,ON,OFF
2026-03-15,20:36:44,7,11653,85,30,30.9,55.0,ON,OFF
2026-03-15,21:36:52,7,11497,85,30,31.0,54.1,ON,OFF
2026-03-15,22:37:00,7,12026,85,30,31.1,54.7,ON,OFF
2026-03-15,23:37:07,7,11928,87,27,31.2,55.5,ON,OFF
2026-03-16,00:37:15,0,11602,88,26,31.7,54.1,ON,OFF
2026-03-16,01:37:22,0,11640,88,26,31.2,58.7,ON,OFF
2026-03-16,02:37:30,0,11747,86,28,31.2,59.4,ON,OFF
2026-03-16,03:37:37,0,11983,86,28,31.0,57.9,ON,OFF
2026-03-16,04:37:45,0,11795,86,29,30.9,56.4,ON,OFF
2026-03-16,05:37:52,0,11440,86,29,30.9,56.2,ON,OFF
2026-03-16,06:38:00,0,0,86,28,30.7,56.0,OFF,OFF
2026-03-16,07:38:08,11,11,86,28,30.7,56.8,OFF,OFF
2026-03-16,08:38:15,70,70,86,28,25.6,80.5,OFF,OFF
2026-03-16,09:38:23,64,64,85,30,25.8,79.5,OFF,OFF
2026-03-16,10:38:30,80,80,84,32,26.2,79.1,OFF,OFF
2026-03-16,11:38:38,83,83,84,32,26.8,80.2,OFF,OFF
2026-03-16,12:38:45,17,17,85,30,26.9,77.5,OFF,OFF
2026-03-16,13:38:53,12,12,84,31,24.5,58.0,OFF,OFF
2026-03-16,14:39:00,11,11,84,32,24.2,60.7,OFF,OFF
2026-03-16,15:39:08,7,7,83,33,23.7,63.8,OFF,OFF
2026-03-16,16:39:15,5,5,84,32,23.0,55.5,OFF,OFF
2026-03-16,17:39:23,5,5,82,34,24.8,69.0,OFF,OFF
2026-03-16,18:39:31,2,14285,84,32,0,0,ON,OFF
2026-03-16,19:39:38,8,12465,86,29,25.6,81.5,ON,OFF
2026-03-16,20:39:46,22,12707,88,26,26.3,50.6,ON,OFF
2026-03-16,21:39:53,22,11644,87,27,27.4,41.1,ON,OFF
2026-03-16,22:40:01,22,11614,86,29,29.2,53.0,ON,OFF
2026-03-16,23:40:08,0,11451,86,29,31.2,57.7,ON,OFF
2026-03-17,00:40:16,0,11641,86,29,31.7,59.9,ON,OFF
2026-03-17,01:40:24,0,11875,87,27,31.9,60.4,ON,OFF
2026-03-17,02:40:31,0,11352,87,27,31.9,59.3,ON,OFF
2026-03-17,03:40:39,0,11355,87,27,31.9,59.9,ON,OFF
2026-03-17,04:40:46,0,11497,85,30,0,0,ON,OFF
2026-03-17,05:40:54,0,11546,85,30,31.7,56.5,ON,OFF
2026-03-17,06:41:01,0,0,84,32,31.6,56.3,OFF,OFF
2026-03-17,07:41:09,4,4,84,31,31.5,56.1,OFF,OFF
2026-03-17,08:41:16,65,66,86,29,26.2,81.7,OFF,OFF
2026-03-17,09:41:24,45,45,85,30,26.3,81.8,OFF,OFF
2026-03-17,10:41:31,42,42,88,26,27.5,67.3,OFF,OFF
2026-03-17,11:41:39,33,33,85,30,27.2,79.5,OFF,OFF
2026-03-17,12:41:46,43,43,84,31,27.5,69.8,OFF,OFF
2026-03-17,13:41:54,9,9,84,32,27.8,69.4,OFF,OFF
2026-03-17,14:42:02,4,4,84,31,26.7,60.0,OFF,OFF
2026-03-17,15:42:09,16,16,82,34,24.1,51.9,OFF,OFF
2026-03-17,16:42:17,21,20,84,31,23.1,48.7,OFF,OFF
2026-03-17,17:42:24,12,13,83,33,22.2,75.0,OFF,OFF
2026-03-17,18:42:32,0,15760,84,32,24.8,57.7,ON,OFF
2026-03-17,19:42:39,0,12983,84,32,25.1,66.4,ON,OFF
2026-03-17,20:42:47,0,0,80,38,0,0,ON,OFF
2026-03-17,21:42:55,0,0,80,38,0,0,ON,OFF
2026-03-17,22:43:02,8,13047,85,30,24.8,58.9,ON,OFF
2026-03-17,23:43:10,8,12767,84,32,30.2,46.1,ON,OFF
2026-03-18,00:43:17,0,13093,83,33,30.5,42.9,ON,OFF
2026-03-18,01:43:25,0,12973,83,33,0,0,ON,OFF
2026-03-18,02:43:33,0,13132,84,31,30.1,40.4,ON,OFF
2026-03-18,03:43:40,0,13179,85,30,29.9,39.0,ON,OFF
2026-03-18,04:43:48,0,12825,85,30,29.7,39.1,ON,OFF
2026-03-18,05:43:55,0,13105,83,33,29.4,39.8,ON,OFF
2026-03-18,06:44:03,0,0,82,34,29.3,41.0,OFF,OFF
2026-03-18,07:44:11,0,0,82,34,29.2,39.3,OFF,OFF
2026-03-18,08:44:18,6,6,82,34,24.2,53.1,OFF,OFF
2026-03-18,09:44:26,18,20,82,34,24.1,54.7,OFF,OFF
2026-03-18,10:44:33,44,43,83,33,24.3,53.8,OFF,OFF
2026-03-18,11:44:41,31,31,83,33,24.8,75.9,OFF,OFF
2026-03-18,12:44:48,23,23,81,36,25.4,99.9,OFF,OFF
2026-03-18,13:44:56,11,11,80,37,25.4,96.1,OFF,OFF
2026-03-18,14:45:03,11,11,80,37,25.5,99.2,OFF,OFF
2026-03-18,15:45:11,11,11,82,34,25.7,89.9,OFF,OFF
2026-03-18,16:45:18,9,9,82,34,25.7,86.5,OFF,OFF
2026-03-18,17:45:26,7,7,82,34,25.6,83.7,OFF,OFF
2026-03-18,18:45:33,3,15603,81,36,0,0,ON,OFF
2026-03-18,19:45:41,8,8,77,42,0,0,ON,OFF
2026-03-18,20:45:49,8,13127,84,31,25.3,71.1,ON,OFF
2026-03-18,21:45:56,0,12915,84,32,29.9,54.8,ON,OFF
2026-03-18,22:46:04,9,12601,86,29,30.1,53.5,ON,OFF
2026-03-18,23:46:11,0,12860,86,29,30.2,51.8,ON,OFF
2026-03-19,00:46:19,0,12521,86,29,0,0,ON,OFF
2026-03-19,01:46:26,0,12459,84,32,30.5,53.2,ON,OFF
2026-03-19,02:46:34,0,12860,84,32,30.3,55.4,ON,OFF
2026-03-19,03:46:41,0,12647,84,32,30.3,54.6,ON,OFF
2026-03-19,04:46:49,0,12794,85,30,30.1,55.7,ON,OFF
2026-03-19,05:46:56,0,13231,85,30,29.6,57.8,ON,OFF
2026-03-19,06:47:04,0,0,84,31,29.3,59.4,OFF,OFF
2026-03-19,07:47:11,8,8,82,34,29.1,54.2,OFF,OFF
2026-03-19,08:47:19,62,62,83,33,24.9,70.2,OFF,OFF
2026-03-19,09:47:27,56,56,82,34,25.2,69.6,OFF,OFF
2026-03-19,10:47:34,19,18,82,34,25.4,68.6,OFF,OFF
2026-03-19,11:47:42,25,25,84,32,25.6,68.6,OFF,OFF
2026-03-19,12:47:49,13,13,84,32,25.6,66.6,OFF,OFF
2026-03-19,13:47:57,6,6,84,32,25.5,63.5,OFF,OFF
2026-03-19,14:48:04,6,6,82,34,25.6,63.6,OFF,OFF
2026-03-19,15:48:12,6,6,82,34,25.6,64.5,OFF,OFF
2026-03-19,16:48:19,5,5,82,34,25.6,64.9,OFF,OFF
2026-03-19,17:48:27,4,4,84,32,25.6,65.8,OFF,OFF
2026-03-19,18:48:35,0,15537,84,31,25.6,67.3,ON,OFF
2026-03-19,19:48:42,0,7323,84,31,25.6,74.4,ON,OFF
2026-03-19,20:48:49,0,6903,83,33,29.5,59.4,ON,OFF
2026-03-19,21:49:02,0,6873,85,30,29.5,60.5,ON,OFF
2026-03-19,22:49:09,0,8591,84,31,29.6,62.0,ON,OFF
2026-03-19,23:49:16,0,11311,84,31,29.8,60.5,ON,OFF
2026-03-20,00:49:24,0,12992,83,33,29.7,59.7,ON,OFF
2026-03-20,01:49:32,0,12508,83,33,29.9,60.0,ON,OFF
2026-03-20,02:49:39,0,9733,83,33,29.9,60.1,ON,OFF
2026-03-20,03:49:47,0,8775,83,33,29.3,62.3,ON,OFF
2026-03-20,04:49:54,0,4262,84,31,29.4,63.2,ON,OFF
2026-03-20,05:50:03,0,1177,84,31,29.4,64.2,ON,OFF
2026-03-20,06:50:11,0,0,82,34,29.2,65.6,OFF,OFF
2026-03-20,07:50:18,0,0,82,34,29.1,59.8,OFF,OFF
2026-03-20,08:50:26,8,8,82,35,25.6,70.3,OFF,OFF
2026-03-20,09:50:33,50,51,84,32,25.4,71.8,OFF,OFF
2026-03-20,10:50:41,32,32,83,33,25.9,76.0,OFF,OFF
2026-03-20,11:50:48,25,25,83,33,25.9,74.9,OFF,OFF
2026-03-20,12:50:56,17,17,82,35,25.9,75.2,OFF,OFF
2026-03-20,13:51:03,7,7,82,35,26.1,76.4,OFF,OFF
2026-03-20,14:51:11,7,7,82,35,26.2,77.3,OFF,OFF
2026-03-20,15:51:19,6,6,82,35,26.1,76.8,OFF,OFF
2026-03-20,16:51:26,4,4,83,33,24.3,60.9,OFF,OFF
2026-03-20,17:51:34,2,2,83,33,23.8,60.0,OFF,OFF
2026-03-20,18:51:41,6,7510,84,32,23.3,57.6,ON,OFF
2026-03-20,19:51:49,10,6573,84,31,22.7,55.2,ON,OFF
2026-03-20,20:51:56,9,5261,81,36,28.1,69.1,ON,OFF
2026-03-20,21:52:04,9,2051,82,35,28.0,62.8,ON,OFF
2026-03-20,22:52:11,9,1400,83,33,28.2,64.4,ON,OFF
2026-03-20,23:52:19,0,1451,83,33,28.4,62.6,ON,OFF
2026-03-21,00:52:26,3,1544,83,33,28.5,61.8,ON,OFF
2026-03-21,01:52:34,0,1404,82,35,28.8,60.2,ON,OFF
2026-03-21,02:52:42,0,960,82,35,28.8,60.0,ON,OFF
2026-03-21,03:52:49,0,863,82,35,28.3,60.0,ON,OFF
2026-03-21,04:52:57,0,875,82,35,28.2,62.6,ON,OFF
2026-03-21,05:53:04,0,886,83,33,28.2,60.6,ON,OFF
